,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
429,05,v1,99,207,1.3964256684611867
430,05,v1,99,45,1.257810720782615
431,05,v1,99,99,1.3195666465281217
432,05,sup_parietal,153,153,3.3784763974749366
433,05,sup_parietal,153,207,2.708099764280549
434,05,sup_parietal,153,45,2.6592798805152373
435,05,sup_parietal,153,99,3.159710280869749
436,05,sup_parietal,207,153,3.0258648189946467
437,05,sup_parietal,207,207,1.8963143696196068
438,05,sup_parietal,207,45,2.6060398485592327
439,05,sup_parietal,207,99,2.9944832901940437
440,05,sup_parietal,45,153,2.7078008321983678
441,05,sup_parietal,45,207,2.192810404104481
442,05,sup_parietal,45,45,3.0841544621397667
443,05,sup_parietal,45,99,3.1000574956048617
444,05,sup_parietal,99,153,2.690625812884592
445,05,sup_parietal,99,207,2.2423299880841263
446,05,sup_parietal,99,45,2.728469660935235
447,05,sup_parietal,99,99,2.2125275657418992
448,05,inf_parietal,153,153,2.4436704027769114
449,05,inf_parietal,153,207,2.2232006853086497
450,05,inf_parietal,153,45,2.6855678943422685
451,05,inf_parietal,153,99,2.058759168397111
452,05,inf_parietal,207,153,2.2259215345858037
453,05,inf_parietal,207,207,2.396214602968356
454,05,inf_parietal,207,45,2.3862073000762214
455,05,inf_parietal,207,99,2.296345426417677
456,05,inf_parietal,45,153,2.3537262641985266
457,05,inf_parietal,45,207,2.1713738722708227
458,05,inf_parietal,45,45,2.454831278879161
459,05,inf_parietal,45,99,2.3009063889954513
460,05,inf_parietal,99,153,2.212405678318691
461,05,inf_parietal,99,207,1.9601108851287454
462,05,inf_parietal,99,45,2.439765094693212
463,05,inf_parietal,99,99,2.180646401140725
464,05,v5,153,153,2.790356525199808
465,05,v5,153,207,2.388209078465732
466,05,v5,153,45,1.9230905991694427
467,05,v5,153,99,2.3411523921669497
468,05,v5,207,153,2.7018423098091713
469,05,v5,207,207,2.1626231064867802
470,05,v5,207,45,1.2100529033406153
471,05,v5,207,99,2.1817341112026574
472,05,v5,45,153,1.9413849017763463
473,05,v5,45,207,2.7464563259391337
474,05,v5,45,45,2.113043920116438
475,05,v5,45,99,3.8481480743819785
476,05,v5,99,153,2.299100784586991
477,05,v5,99,207,3.841306974875526
478,05,v5,99,45,2.7360656805409453
479,05,v5,99,99,3.307738130049116
480,06,premotor,153,153,1.8106816705510624
481,06,premotor,153,207,1.551827528209571
482,06,premotor,153,45,1.5328457440006462
483,06,premotor,153,99,1.4243203674703777
484,06,premotor,207,153,1.8772662344765125
485,06,premotor,207,207,1.5312763408654673
486,06,premotor,207,45,1.7966710286985468
487,06,premotor,207,99,1.6054601882839274
488,06,premotor,45,153,1.8475299253166022
489,06,premotor,45,207,1.5130918571228502
490,06,premotor,45,45,1.7501312896893202
491,06,premotor,45,99,1.3369508322179473
492,06,premotor,99,153,1.9691362336827973
493,06,premotor,99,207,1.4738047443928064
494,06,premotor,99,45,1.6559782599178638
495,06,premotor,99,99,1.388481090792569
496,06,motor,153,153,1.8538030463076238
497,06,motor,153,207,1.7138454638111043
498,06,motor,153,45,1.831787205800413
499,06,motor,153,99,1.6031352315067218
500,06,motor,207,153,2.198406850144268
501,06,motor,207,207,1.8114918032223155
502,06,motor,207,45,2.0948564660687246
503,06,motor,207,99,1.5016869642819342
504,06,motor,45,153,1.8560096710679537
505,06,motor,45,207,2.0676865602594945
506,06,motor,45,45,1.780494896948269
507,06,motor,45,99,1.8642133480402874
508,06,motor,99,153,2.063196362317789
509,06,motor,99,207,1.7102514121183374
510,06,motor,99,45,1.703368078836332
511,06,motor,99,99,1.6442511317150132
512,06,v1,153,153,1.5742466867405467
513,06,v1,153,207,1.1724513085919528
514,06,v1,153,45,1.2770776949522973
515,06,v1,153,99,1.5339159004053586
516,06,v1,207,153,1.262446985273996
517,06,v1,207,207,1.2643129819312298
518,06,v1,207,45,1.4462629826613294
519,06,v1,207,99,1.3082860281628368
520,06,v1,45,153,1.5791240662988786
521,06,v1,45,207,1.3182150005174749
522,06,v1,45,45,1.374895763317739
523,06,v1,45,99,1.50440703382802
524,06,v1,99,153,1.70526575442577
525,06,v1,99,207,1.326575277754447
526,06,v1,99,45,1.2310556914276998
527,06,v1,99,99,1.53682944815428
528,06,sup_parietal,153,153,1.9940689759535561
