,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
255,01,v5,207,0,99,-0.10563555081534484
256,01,v5,207,1,153,-0.026722169196893936
257,01,v5,207,1,207,-0.10636041454106338
258,01,v5,207,1,45,-0.06255553863339196
259,01,v5,207,1,99,-0.0399849927505458
260,01,v5,207,2,153,-0.013070996760817667
261,01,v5,207,2,207,0.015004317572564062
262,01,v5,207,2,45,0.04113949820229005
263,01,v5,207,2,99,0.00802872629610775
264,01,v5,45,0,153,0.012005103662500655
265,01,v5,45,0,207,-0.009967817963562702
266,01,v5,45,0,45,0.003089572415194128
267,01,v5,45,0,99,0.07425786819664197
268,01,v5,45,1,153,0.0791642298419836
269,01,v5,45,1,207,-0.022661342727273857
270,01,v5,45,1,45,0.02118269895967873
271,01,v5,45,1,99,-0.014610549185113827
272,01,v5,45,2,153,0.022984406269793492
273,01,v5,45,2,207,0.01004136932154591
274,01,v5,45,2,45,0.04911077209649643
275,01,v5,45,2,99,0.01750645563016298
276,01,v5,99,0,153,0.019692866268748395
277,01,v5,99,0,207,-0.011074080292523346
278,01,v5,99,0,45,0.0018442015553593108
279,01,v5,99,0,99,-0.005140617343993188
280,01,v5,99,1,153,-0.09298112881765146
281,01,v5,99,1,207,-0.06575464842391981
282,01,v5,99,1,45,0.017355920345310992
283,01,v5,99,1,99,-0.05248676720645466
284,01,v5,99,2,153,-0.01637640276285403
285,01,v5,99,2,207,0.02586915556941815
286,01,v5,99,2,45,0.009004639154069821
287,01,v5,99,2,99,-0.017329053987545508
288,02,premotor,153,0,153,-0.07168718373810248
289,02,premotor,153,0,207,-0.05344701393024191
290,02,premotor,153,0,45,-0.033780752000742514
291,02,premotor,153,0,99,-0.06443661733482238
292,02,premotor,153,1,153,-0.05178321217840117
293,02,premotor,153,1,207,-0.0590705656221617
294,02,premotor,153,1,45,-0.035723152389821496
295,02,premotor,153,1,99,-0.059781763666334115
296,02,premotor,153,2,153,-0.04684741457890058
297,02,premotor,153,2,207,-0.03392767067784854
298,02,premotor,153,2,45,-0.06940413419104442
299,02,premotor,153,2,99,-0.05719474624682522
300,02,premotor,207,0,153,-0.03428804460111089
301,02,premotor,207,0,207,-0.03849931286241477
302,02,premotor,207,0,45,-0.02672333707935688
303,02,premotor,207,0,99,-0.03824130203069639
304,02,premotor,207,1,153,-0.057603875323149034
305,02,premotor,207,1,207,-0.04968173694429734
306,02,premotor,207,1,45,-0.047081395573855406
307,02,premotor,207,1,99,-0.04618495405346371
308,02,premotor,207,2,153,-0.05615108375298241
309,02,premotor,207,2,207,-0.048763229444925005
310,02,premotor,207,2,45,-0.055629781827378266
311,02,premotor,207,2,99,-0.043058679205021023
312,02,premotor,45,0,153,-0.03225830792919786
313,02,premotor,45,0,207,-0.06784450332209091
314,02,premotor,45,0,45,-0.05226767669877787
315,02,premotor,45,0,99,-0.0645170446365954
316,02,premotor,45,1,153,-0.04714761598680309
317,02,premotor,45,1,207,-0.06024985308327848
318,02,premotor,45,1,45,-0.05445351193667812
319,02,premotor,45,1,99,-0.04540986626844134
320,02,premotor,45,2,153,-0.008210336061288948
321,02,premotor,45,2,207,-0.04436704245026709
322,02,premotor,45,2,45,-0.013612914959916917
323,02,premotor,45,2,99,-0.03512465782355805
324,02,premotor,99,0,153,-0.05953502790757129
325,02,premotor,99,0,207,-0.04469819276300793
326,02,premotor,99,0,45,-0.09145091890898097
327,02,premotor,99,0,99,-0.06560565569136484
328,02,premotor,99,1,153,-0.06140838541318398
329,02,premotor,99,1,207,-0.05327915888629596
330,02,premotor,99,1,45,-0.08566346673595585
331,02,premotor,99,1,99,-0.06095691730468092
332,02,premotor,99,2,153,-0.08656994152874112
333,02,premotor,99,2,207,-0.08446042420447042
334,02,premotor,99,2,45,-0.04867161057289985
335,02,premotor,99,2,99,-0.07501287898353562
336,02,motor,153,0,153,-0.05190411090142616
337,02,motor,153,0,207,-0.07803121352237974
338,02,motor,153,0,45,-0.0611747539704946
339,02,motor,153,0,99,-0.08207163165327122
340,02,motor,153,1,153,-0.06469626278765994
341,02,motor,153,1,207,-0.05478578505476836
342,02,motor,153,1,45,-0.04218934547175922
343,02,motor,153,1,99,-0.03675793215915723
344,02,motor,153,2,153,-0.02780493698438812
345,02,motor,153,2,207,-0.009121668773453091
346,02,motor,153,2,45,-0.10156376896204827
347,02,motor,153,2,99,-0.05343143759604542
348,02,motor,207,0,153,-0.012150522868655114
349,02,motor,207,0,207,-0.03731653718973409
350,02,motor,207,0,45,-0.020569797574591122
351,02,motor,207,0,99,-0.02261641640353701
352,02,motor,207,1,153,-0.06744215921183914
353,02,motor,207,1,207,-0.08134535010476963
354,02,motor,207,1,45,-0.02184583036494584
355,02,motor,207,1,99,-0.07772736827784095
356,02,motor,207,2,153,-0.07694294204141318
357,02,motor,207,2,207,-0.062333583386271436
358,02,motor,207,2,45,-0.013307625640521445
359,02,motor,207,2,99,-0.04777342918409355
360,02,motor,45,0,153,-0.037927677350749714
361,02,motor,45,0,207,-0.063307136971473
362,02,motor,45,0,45,-0.0677076968658717
363,02,motor,45,0,99,-0.018329512590411264
364,02,motor,45,1,153,-0.04497937852924206
365,02,motor,45,1,207,-0.027433640937191354
366,02,motor,45,1,45,-0.019076759691469342
