,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
601,02,sup_parietal,207,45,1,14.976017797277827
602,02,sup_parietal,207,45,2,5.64147457826766
603,02,sup_parietal,207,45,3,0.15109120353910366
604,02,sup_parietal,207,99,0,179.30836850712697
605,02,sup_parietal,207,99,1,22.230987760966492
606,02,sup_parietal,207,99,2,4.827781037807972
607,02,sup_parietal,207,99,3,0.2062925015407277
608,02,sup_parietal,45,153,0,178.91823961603177
609,02,sup_parietal,45,153,1,19.20714882696602
610,02,sup_parietal,45,153,2,4.850176097764029
611,02,sup_parietal,45,153,3,0.3266537624845641
612,02,sup_parietal,45,207,0,192.10591522520792
613,02,sup_parietal,45,207,1,12.779502139567125
614,02,sup_parietal,45,207,2,7.5223729009080085
615,02,sup_parietal,45,207,3,0.4739108521445112
616,02,sup_parietal,45,45,0,186.34851047145185
617,02,sup_parietal,45,45,1,18.348213292434643
618,02,sup_parietal,45,45,2,4.858764284689105
619,02,sup_parietal,45,45,3,1.2323782048274374
620,02,sup_parietal,45,99,0,185.5188920436639
621,02,sup_parietal,45,99,1,17.65247595360892
622,02,sup_parietal,45,99,2,6.7218858824100485
623,02,sup_parietal,45,99,3,0.09397959220321817
624,02,sup_parietal,99,153,0,173.23572297789136
625,02,sup_parietal,99,153,1,16.65240509901935
626,02,sup_parietal,99,153,2,10.868753266072511
627,02,sup_parietal,99,153,3,0.23895746625437275
628,02,sup_parietal,99,207,0,197.62617404922656
629,02,sup_parietal,99,207,1,19.26325864567701
630,02,sup_parietal,99,207,2,5.377363786354875
631,02,sup_parietal,99,207,3,0.05294729535244869
632,02,sup_parietal,99,45,0,178.83181801197443
633,02,sup_parietal,99,45,1,17.689728500858024
634,02,sup_parietal,99,45,2,4.979144696011911
635,02,sup_parietal,99,45,3,2.581411669617315
636,02,sup_parietal,99,99,0,183.06930787772478
637,02,sup_parietal,99,99,1,16.640242214604385
638,02,sup_parietal,99,99,2,5.748246249183142
639,02,sup_parietal,99,99,3,0.05978091189041691
640,02,inf_parietal,153,153,0,221.5557373010649
641,02,inf_parietal,153,153,1,18.862895758683262
642,02,inf_parietal,153,153,2,6.158469295963478
643,02,inf_parietal,153,153,3,0.10317135491141388
644,02,inf_parietal,153,207,0,219.56494442393827
645,02,inf_parietal,153,207,1,18.733081666117364
646,02,inf_parietal,153,207,2,8.224332169768042
647,02,inf_parietal,153,207,3,0.319865491031908
648,02,inf_parietal,153,45,0,215.00035432440825
649,02,inf_parietal,153,45,1,20.892910021745692
650,02,inf_parietal,153,45,2,3.4838770161050343
651,02,inf_parietal,153,45,3,0.7059488164927141
652,02,inf_parietal,153,99,0,214.9544830733821
653,02,inf_parietal,153,99,1,19.6583036973256
654,02,inf_parietal,153,99,2,9.122115233470371
655,02,inf_parietal,153,99,3,0.7869232093774217
656,02,inf_parietal,207,153,0,218.3936984355246
657,02,inf_parietal,207,153,1,16.07649574642967
658,02,inf_parietal,207,153,2,5.789332270609089
659,02,inf_parietal,207,153,3,
660,02,inf_parietal,207,207,0,214.91854421996752
661,02,inf_parietal,207,207,1,23.69938990162744
662,02,inf_parietal,207,207,2,6.676277144743158
663,02,inf_parietal,207,207,3,0.08799591996395068
664,02,inf_parietal,207,45,0,211.8332855491713
665,02,inf_parietal,207,45,1,15.796199100692144
666,02,inf_parietal,207,45,2,6.965055731208244
667,02,inf_parietal,207,45,3,0.1732756301942242
668,02,inf_parietal,207,99,0,215.39033826595718
669,02,inf_parietal,207,99,1,15.67260352902376
670,02,inf_parietal,207,99,2,8.483936132023135
671,02,inf_parietal,207,99,3,1.1446362217210946
672,02,inf_parietal,45,153,0,226.48982529036013
673,02,inf_parietal,45,153,1,18.43247576237958
674,02,inf_parietal,45,153,2,8.875215868406865
675,02,inf_parietal,45,153,3,0.021366868078231793
676,02,inf_parietal,45,207,0,212.54392442439854
677,02,inf_parietal,45,207,1,17.46353758783859
678,02,inf_parietal,45,207,2,6.54600548542331
679,02,inf_parietal,45,207,3,1.266021876964761
680,02,inf_parietal,45,45,0,211.5577672245505
681,02,inf_parietal,45,45,1,16.125094695390228
682,02,inf_parietal,45,45,2,8.27314476964888
683,02,inf_parietal,45,45,3,1.3659136642001763
684,02,inf_parietal,45,99,0,215.73740125008985
685,02,inf_parietal,45,99,1,18.874509365723284
686,02,inf_parietal,45,99,2,4.749453845294238
687,02,inf_parietal,45,99,3,1.203600437567704
688,02,inf_parietal,99,153,0,215.76035573882353
689,02,inf_parietal,99,153,1,16.744147248297296
690,02,inf_parietal,99,153,2,4.900205580784563
691,02,inf_parietal,99,153,3,0.004360074581300333
692,02,inf_parietal,99,207,0,213.02576351003768
693,02,inf_parietal,99,207,1,18.11643014801678
