,Participants,Masks,Straight Direction,Rotate Direction,Correlation
496,06,motor,153,153,-0.016948591508813594
497,06,motor,153,207,-0.02892120137317642
498,06,motor,153,45,0.03185658686752628
499,06,motor,153,99,0.02159996816711929
500,06,motor,207,153,-0.058684462486701686
501,06,motor,207,207,0.06544430065422147
502,06,motor,207,45,-0.01312881044343319
503,06,motor,207,99,0.017315561499353264
504,06,motor,45,153,0.09062935945790779
505,06,motor,45,207,-0.002499903623358151
506,06,motor,45,45,-0.04670924413813268
507,06,motor,45,99,-0.018969811977152314
508,06,motor,99,153,-0.0065702144376419205
509,06,motor,99,207,-0.010079208976789353
510,06,motor,99,45,0.030241563548331653
511,06,motor,99,99,-0.04425140116327214
512,06,v1,153,153,-0.04151784829681908
513,06,v1,153,207,-0.05583289280300944
514,06,v1,153,45,0.04396010541711394
515,06,v1,153,99,0.04696789443495782
516,06,v1,207,153,0.0008490667116855906
517,06,v1,207,207,-0.018470726671350687
518,06,v1,207,45,-0.007533767998930657
519,06,v1,207,99,0.04566148048705862
520,06,v1,45,153,0.01282175095808144
521,06,v1,45,207,0.10579576255918263
522,06,v1,45,45,-0.0661406067715815
523,06,v1,45,99,-0.03493193194797378
524,06,v1,99,153,0.022375163828540826
525,06,v1,99,207,-0.008671273354354974
526,06,v1,99,45,0.029750106133757705
527,06,v1,99,99,-0.06193758695940536
