,Participants,Masks,Straight Direction,Straight Direction_,Correlation
586,07,premotor,45,45,-0.8472708337856478
587,07,premotor,45,99,0.3010899084509715
588,07,premotor,99,153,0.27204196828646715
589,07,premotor,99,207,0.24229164309901896
590,07,premotor,99,45,0.29144406320916777
591,07,premotor,99,99,-0.842248218168012
592,07,motor,153,153,-0.8292152939204183
593,07,motor,153,207,0.30447462531270497
594,07,motor,153,45,0.2851849093832104
595,07,motor,153,99,0.23270832767469699
596,07,motor,207,153,0.2927344843647163
597,07,motor,207,207,-0.7611549941590189
598,07,motor,207,45,0.25674366044416735
599,07,motor,207,99,0.24269351672123674
600,07,motor,45,153,0.26992877703836493
601,07,motor,45,207,0.28057134335906864
602,07,motor,45,45,-0.8275284049869495
603,07,motor,45,99,0.26586985603694374
604,07,motor,99,153,0.2653859735827743
605,07,motor,99,207,0.21828966871486827
606,07,motor,99,45,0.25777611783736487
607,07,motor,99,99,-0.8306794128846873
608,07,v1,153,153,-0.7166629959533954
609,07,v1,153,207,0.2819182805630692
610,07,v1,153,45,0.2189683283382059
611,07,v1,153,99,0.2190731618251675
612,07,v1,207,153,0.2887186394418312
613,07,v1,207,207,-0.7243924315732506
614,07,v1,207,45,0.2517898292584886
615,07,v1,207,99,0.17716011275028126
616,07,v1,45,153,0.23472748885548966
617,07,v1,45,207,0.23438377310082603
618,07,v1,45,45,-0.7574284531365519
619,07,v1,45,99,0.2756212765075555
620,07,v1,99,153,0.18670297718691647
621,07,v1,99,207,0.21796322037406016
622,07,v1,99,45,0.2728793940351295
623,07,v1,99,99,-0.7073015903032929
624,07,sup_parietal,153,153,-0.7731507898996457
625,07,sup_parietal,153,207,0.3169003705829858
626,07,sup_parietal,153,45,0.22652853398905357
627,07,sup_parietal,153,99,0.2312013254141063
628,07,sup_parietal,207,153,0.3128475513979484
629,07,sup_parietal,207,207,-0.7441328587808507
630,07,sup_parietal,207,45,0.24181217573331398
631,07,sup_parietal,207,99,0.14902466762824054
632,07,sup_parietal,45,153,0.21252279163650148
633,07,sup_parietal,45,207,0.18449878348742454
634,07,sup_parietal,45,45,-0.804271804319059
635,07,sup_parietal,45,99,0.36677161647332235
636,07,sup_parietal,99,153,0.24315441515582026
637,07,sup_parietal,99,207,0.1760863507910177
638,07,sup_parietal,99,45,0.2936769070728801
