,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
548,06,inf_parietal,207,153,0.01945333723528886
549,06,inf_parietal,207,207,0.02954594561041497
550,06,inf_parietal,207,45,0.014153722247138727
551,06,inf_parietal,207,99,0.025481790683363436
552,06,inf_parietal,45,153,-0.011160107078555683
553,06,inf_parietal,45,207,0.007100895866870345
554,06,inf_parietal,45,45,-0.010732100406068881
555,06,inf_parietal,45,99,0.03528553862399744
556,06,inf_parietal,99,153,0.0022146095569409415
557,06,inf_parietal,99,207,0.020359502354895757
558,06,inf_parietal,99,45,0.020887577906985495
559,06,inf_parietal,99,99,0.021809069017252172
560,06,v5,153,153,0.04802782737442518
561,06,v5,153,207,0.06758087027367962
562,06,v5,153,45,0.07874809947060864
563,06,v5,153,99,0.020456585989254282
564,06,v5,207,153,-0.008529028941148483
565,06,v5,207,207,0.006345435047776933
566,06,v5,207,45,0.07953367378061399
567,06,v5,207,99,-0.0012213634759659835
568,06,v5,45,153,0.07096094282727092
569,06,v5,45,207,0.03813539238614978
570,06,v5,45,45,-0.0059816019584631
571,06,v5,45,99,0.00432243319695148
572,06,v5,99,153,-0.01358917938231213
573,06,v5,99,207,0.08453052919827336
574,06,v5,99,45,-0.0021020320733390833
575,06,v5,99,99,-0.013030760819658734
576,07,premotor,153,153,0.043978229340120384
577,07,premotor,153,207,0.04325205584272429
578,07,premotor,153,45,0.038743178056660374
579,07,premotor,153,99,0.04320980450792723
580,07,premotor,207,153,0.04348351995313565
581,07,premotor,207,207,0.04069785226601763
582,07,premotor,207,45,0.04015804714898488
583,07,premotor,207,99,0.0362689392158944
584,07,premotor,45,153,0.036366114744190735
585,07,premotor,45,207,0.03431956819143077
586,07,premotor,45,45,0.035548237168449265
587,07,premotor,45,99,0.03683561918338381
588,07,premotor,99,153,0.04085993283574777
589,07,premotor,99,207,0.04600658212010313
590,07,premotor,99,45,0.055041532572700703
591,07,premotor,99,99,0.036525932269795836
592,07,motor,153,153,0.03568174972512876
593,07,motor,153,207,0.028738932903086763
594,07,motor,153,45,0.03568074006208825
595,07,motor,153,99,0.024159948774491943
596,07,motor,207,153,0.043470885117512154
597,07,motor,207,207,0.044844361280987
598,07,motor,207,45,0.06054663787554067
599,07,motor,207,99,0.02526423435697678
600,07,motor,45,153,0.06562936889011795
601,07,motor,45,207,0.03423581103587866
602,07,motor,45,45,0.00804950520547677
603,07,motor,45,99,0.017402893400548777
604,07,motor,99,153,0.008431649964162369
605,07,motor,99,207,0.008907559167842298
606,07,motor,99,45,0.04358963874366017
607,07,motor,99,99,0.033843275407138794
608,07,v1,153,153,0.1956420684960635
609,07,v1,153,207,0.0923458465840673
610,07,v1,153,45,0.0875905565097922
611,07,v1,153,99,0.07859410726897725
612,07,v1,207,153,0.10171686150836728
613,07,v1,207,207,0.1638001679928341
614,07,v1,207,45,0.0724132447186339
615,07,v1,207,99,0.04057790740465271
616,07,v1,45,153,0.07882133113514928
617,07,v1,45,207,0.07755256392456952
618,07,v1,45,45,0.23793057365067838
