,Participants,Masks,Rotate Direction,Straight Direction,Correlation
376,04,v5,45,153,-0.12124388014841884
377,04,v5,45,207,-0.1020317989690339
378,04,v5,45,45,-0.03867547755828156
379,04,v5,45,99,0.2166928980494714
380,04,v5,99,153,0.10211632789367196
381,04,v5,99,207,-0.07418093834291656
382,04,v5,99,45,0.1477086685614872
383,04,v5,99,99,-0.13229367181822008
384,05,premotor,153,153,0.011114544145860284
385,05,premotor,153,207,-0.018854777293062362
386,05,premotor,153,45,-0.03073172333963385
387,05,premotor,153,99,0.025921566972749107
388,05,premotor,207,153,-0.02370608033615229
389,05,premotor,207,207,0.07812485639387966
390,05,premotor,207,45,0.01884641420952768
391,05,premotor,207,99,-0.055168577145514375
392,05,premotor,45,153,-0.01361297234072963
393,05,premotor,45,207,-0.02029867463767471
394,05,premotor,45,45,0.026359429721436303
395,05,premotor,45,99,-0.002744140158819082
396,05,premotor,99,153,0.021651868618183797
397,05,premotor,99,207,-0.022468863230181983
398,05,premotor,99,45,-0.01976810967852502
399,05,premotor,99,99,0.03230224698405437
400,05,motor,153,153,0.03482439047450321
401,05,motor,153,207,-0.02225691205452132
402,05,motor,153,45,-0.01690180054963962
403,05,motor,153,99,0.010954433684379468
404,05,motor,207,153,-0.024900095011017885
405,05,motor,207,207,0.025369250455673738
406,05,motor,207,45,0.011295589051398906
407,05,motor,207,99,0.002707621214786185
408,05,motor,45,153,0.012970004123745162
409,05,motor,45,207,-0.04349653795773177
410,05,motor,45,45,0.07593058998726677
411,05,motor,45,99,-0.0783054501814304
412,05,motor,99,153,-0.016892574170133894
413,05,motor,99,207,0.03236580270642893
414,05,motor,99,45,-0.05849883587879834
415,05,motor,99,99,0.037820367879048924
416,05,v1,153,153,0.06522605817206359
417,05,v1,153,207,0.023909599455098834
418,05,v1,153,45,0.06480773090416066
419,05,v1,153,99,-0.18412950328893268
420,05,v1,207,153,-0.1144658315835
421,05,v1,207,207,-0.08634528859037964
422,05,v1,207,45,0.14580895486220102
423,05,v1,207,99,0.10640071658709757
424,05,v1,45,153,-0.048239835998327596
425,05,v1,45,207,0.1201200809716075
426,05,v1,45,45,-0.17187490630224123
427,05,v1,45,99,0.09212383428159729
428,05,v1,99,153,0.08409043782252876
429,05,v1,99,207,-0.09325714163618086
430,05,v1,99,45,-0.030022704997765617
431,05,v1,99,99,0.02086025829099817
432,05,sup_parietal,153,153,0.015257854582937373
433,05,sup_parietal,153,207,-0.005983988146860098
434,05,sup_parietal,153,45,-0.03410135089263047
435,05,sup_parietal,153,99,0.03601651412445799
436,05,sup_parietal,207,153,-0.041537752498990096
437,05,sup_parietal,207,207,-0.044998629552086195
438,05,sup_parietal,207,45,0.13769677193617053
439,05,sup_parietal,207,99,-0.02892257151788374
440,05,sup_parietal,45,153,0.018742709737009106
441,05,sup_parietal,45,207,-0.029375125664679827
